Title,Score
One Piece,8.72
Hibike! Euphonium 3,8.63
Mushoku Tensei II: Isekai Ittara Honki Dasu Part 2,8.43
Doupo Cangqiong: Nian Fan,8.40
Kaijuu 8-gou,8.34
Girls Band Cry,8.31
Shen Yin Wangzuo 2nd Season,8.25
Tunshi Xingkong 4th Season,8.24
Meitantei Conan,8.17
Holo no Graffiti,8.17
Ookami to Koushinryou: Merchant Meets the Wise Wolf,8.09
Douluo Dalu II: Jueshi Tangmen,8.07
Kimetsu no Yaiba: Hashira Geiko-hen,8.06
Tensei shitara Slime Datta Ken 3rd Season,7.95
Boku no Hero Academia 7th Season,7.86
Xian Ni,7.84
Crayon Shin-chan,7.79
Wanmei Shijie,7.79
Wind Breaker,7.79
Fanren Xiu Xian Chuan 3rd Season,7.77
Doraemon (2005),7.69
Dead Dead Demons Dededede Destruction (ONA),7.64
Wushen Zhuzai,7.52
Karasu wa Aruji wo Erabanai,7.51
Sentai Daishikkaku,7.47
Pokemon (2023),7.40
Shixiong A Shixiong 2nd Season,7.40
Code Geass: Dakkan no Rozé,7.38
Lian Qi Shi Wan Nian,7.37
Captain Tsubasa Season 2: Junior Youth-hen,7.37
Zhu Xian 2nd Season,7.36
Zhe Tian,7.34
Chibi Maruko-chan (1995),7.32
Wonderful Precure!,7.32
Hifuu Katsudou Kiroku: The Sealed Esoteric History,7.31
Mahouka Koukou no Rettousei 3rd Season,7.30
Bai Lian Cheng Shen 2nd Season,7.29
The Fable,7.28
Ling Jian Zun 4th Season,7.27
Touhou Niji Sousaku Doujin Anime: Musou Kakyou,7.25
Ni Tian Zhizun,7.22
Xian Wu Chuan 2nd Season,7.22
Yozakura-san Chi no Daisakusen,7.21
Boukyaku Battery (TV),7.20
Sasayaku You ni Koi wo Utau,7.19
Yong Sheng: Qizhuang Shanhe,7.16
Wu Shang Shen Di 2nd Season,7.12
Wan Jie Xian Zong 5th Season,7.09
Yao Shen Ji 7th Season,7.09
Binghuo Mochu 2,7.08
